001  00236 |Loss: 2.263 | Acc: 29.000% 
001  00237 |Loss: 2.258 | Acc: 29.000% 
001  00238 |Loss: 2.262 | Acc: 29.000% 
001  00239 |Loss: 2.255 | Acc: 30.000% 
001  00240 |Loss: 2.252 | Acc: 30.000% 
001  00241 |Loss: 2.250 | Acc: 30.000% 
001  00242 |Loss: 2.246 | Acc: 30.000% 
001  00243 |Loss: 2.243 | Acc: 30.000% 
001  00244 |Loss: 2.242 | Acc: 30.000% 
001  00245 |Loss: 2.238 | Acc: 30.000% 
001  00246 |Loss: 2.240 | Acc: 30.000% 
001  00247 |Loss: 2.237 | Acc: 30.000% 
001  00248 |Loss: 2.233 | Acc: 30.000% 
001  00249 |Loss: 2.232 | Acc: 30.000% 
001  00250 |Loss: 2.235 | Acc: 30.000% 
001  00251 |Loss: 2.231 | Acc: 30.000% 
001  00252 |Loss: 2.228 | Acc: 30.000% 
001  00253 |Loss: 2.226 | Acc: 30.000% 
001  00254 |Loss: 2.223 | Acc: 30.000% 
001  00255 |Loss: 2.222 | Acc: 30.000% 
001  00256 |Loss: 2.220 | Acc: 30.000% 
001  00257 |Loss: 2.217 | Acc: 30.000% 
001  00258 |Loss: 2.214 | Acc: 30.000% 
001  00259 |Loss: 2.211 | Acc: 30.000% 
001  00260 |Loss: 2.212 | Acc: 30.000% 
001  00261 |Loss: 2.212 | Acc: 30.000% 
001  00262 |Loss: 2.207 | Acc: 30.000% 
001  00263 |Loss: 2.206 | Acc: 30.000% 
001  00264 |Loss: 2.205 | Acc: 30.000% 
001  00265 |Loss: 2.201 | Acc: 30.000% 
001  00266 |Loss: 2.196 | Acc: 30.000% 
001  00267 |Loss: 2.192 | Acc: 30.000% 
001  00268 |Loss: 2.187 | Acc: 30.000% 
001  00269 |Loss: 2.183 | Acc: 30.000% 
001  00270 |Loss: 2.184 | Acc: 30.000% 
001  00271 |Loss: 2.182 | Acc: 30.000% 
001  00272 |Loss: 2.183 | Acc: 30.000% 
001  00273 |Loss: 2.180 | Acc: 30.000% 
001  00274 |Loss: 2.178 | Acc: 30.000% 
001  00275 |Loss: 2.177 | Acc: 30.000% 
001  00276 |Loss: 2.178 | Acc: 30.000% 
001  00277 |Loss: 2.176 | Acc: 30.000% 
001  00278 |Loss: 2.174 | Acc: 30.000% 
001  00279 |Loss: 2.171 | Acc: 30.000% 
001  00280 |Loss: 2.169 | Acc: 30.000% 
001  00281 |Loss: 2.168 | Acc: 30.000% 
001  00282 |Loss: 2.164 | Acc: 30.000% 
001  00283 |Loss: 2.165 | Acc: 30.000% 
001  00284 |Loss: 2.165 | Acc: 30.000% 
001  00285 |Loss: 2.163 | Acc: 30.000% 
001  00286 |Loss: 2.161 | Acc: 30.000% 
001  00287 |Loss: 2.160 | Acc: 30.000% 
001  00288 |Loss: 2.159 | Acc: 30.000% 
001  00289 |Loss: 2.158 | Acc: 30.000% 
001  00290 |Loss: 2.155 | Acc: 30.000% 
001  00291 |Loss: 2.152 | Acc: 30.000% 
001  00292 |Loss: 2.152 | Acc: 30.000% 
001  00293 |Loss: 2.152 | Acc: 30.000% 
001  00294 |Loss: 2.152 | Acc: 30.000% 
